Pincode,City,State,Cash on Delivery,Delivery by
3000,MELBOURNE,Melbourne Metro,no,day
3001,MELBOURNE,Melbourne Metro,no,day
3002,EAST MELBOURNE,Melbourne Metro,no,day
3003,WEST MELBOURNE,Melbourne Metro,no,day
3004,MELBOURNE,Melbourne Metro,no,day
3005,WORLD TRADE CENTRE,Melbourne Metro,no,day
3006,SOUTHBANK,Melbourne Metro,no,day
3008,DOCKLANDS,Melbourne Metro,no,day
3010,UNIVERSITY OF MELBOURNE,Melbourne Metro,no,day
3011,FOOTSCRAY,Melbourne Metro,no,day
3012,WEST FOOTSCRAY,Melbourne Metro,no,day
3013,YARRAVILLE,Melbourne Metro,no,day
3015,NEWPORT,Melbourne Metro,no,day
3016,WILLIAMSTOWN NORTH,Melbourne Metro,no,day
3018,ALTONA,Melbourne Metro,no,day
3019,BRAYBROOK,Melbourne Metro,no,day
3020,ALBION,Melbourne Metro,no,day
3021,ST ALBANS,Melbourne Metro,no,day
3022,ARDEER,Melbourne Metro,no,day
3023,RAVENHALL,Melbourne Metro,no,day
3024,MAMBOURIN,Melbourne Metro,no,day
3025,ALTONA NORTH,Melbourne Metro,no,day
3026,LAVERTON NORTH,Melbourne Metro,no,day
3027,LAVERTON RAAF,Melbourne Metro,no,day
3028,SEABROOK,Melbourne Metro,no,day
3029,HOPPERS CROSSING,Melbourne Metro,no,day
3030,WERRIBEE SOUTH,Melbourne Metro,no,day
3031,FLEMINGTON,Melbourne Metro,no,day
3032,TRAVANCORE,Melbourne Metro,no,day
3033,KEILOR EAST,Melbourne Metro,no,day
3034,AVONDALE HEIGHTS,Melbourne Metro,no,day
3036,KEILOR,Melbourne Metro,no,day
3036,KEILOR NORTH,Melbourne Metro,no,day
3037,TAYLORS HILL,Melbourne Metro,no,day
3038,TAYLORS LAKES,Melbourne Metro,no,day
3039,MOONEE PONDS,Melbourne Metro,no,day
3040,ABERFELDIE,Melbourne Metro,no,day
3041,STRATHMORE HEIGHTS,Melbourne Metro,no,day
3042,NIDDRIE,Melbourne Metro,no,day
3043,TULLAMARINE,Melbourne Metro,no,day
3044,PASCOE VALE SOUTH,Melbourne Metro,no,day
3045,MELBOURNE AIRPORT,Melbourne Metro,no,day
